2024-10-25 21:08:14.437258,[47.66, 'f'],[34.45322188406432, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908494.4173565],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.326413743736576, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908494.2886026],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:08:32.099440,[47.66, 'f'],[34.45322188406432, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908512.0784798],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.326413743736576, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908511.9444396],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:09:37.267353,[47.66, 'f'],[34.45322188406432, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729908577.2668178],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.1250894774516795, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1729908577.2117925],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:10:50.379205,[47.66, 'f'],[34.45322188406432, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908650.3530083],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.2369362920544, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908650.21829],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:11:37.327784,[47.66, 'f'],[34.45322188406432, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729908697.3271081],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[1.946134574087328, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1729908697.246599],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:11:59.173268,[47.66, 'f'],[34.45322188406432, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908719.1531658],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[1.946134574087328, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908719.0229423],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:12:27.002614,[47.66, 'f'],[34.45322188406432, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908746.9718564],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[1.946134574087328, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908746.8294914],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:12:48.745761,[47.480000000000004, 'f'],[34.28355941191437, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908768.7263641],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.169828203292768, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908768.5989923],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:13:14.141364,[47.480000000000004, 'f'],[34.28355941191437, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908794.120911],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.169828203292768, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908793.9902964],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:13:34.673653,[47.480000000000004, 'f'],[34.28355941191437, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908814.6539395],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[2.169828203292768, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908814.5245662],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:13:48.717218,[47.480000000000004, 'f'],[34.28355941191437, 'f'],[60, '%'],[0.0, ' in/hr', 'Currently Dry', 0],[0.0, ' in', 0, 1729908828.6976829],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[1.8342877594846076, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0, 'count', 0, 1729908828.5684521],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
