2024-10-27 00:00:09.983079,[44.24, 'f'],[30.39205945128087, 'f'],[58.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005209.9826639],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.724051539012159, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005209.9418926],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:01:14.721966,[44.24, 'f'],[30.39205945128087, 'f'],[58.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005274.7206545],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.813528990694335, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005273.840321],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:02:14.819142,[44.24, 'f'],[30.39205945128087, 'f'],[58.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005334.8178813],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.142448103078015, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005334.6804996],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:03:14.748543,[44.24, 'f'],[30.81365626167922, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005394.747267],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.187186828919103, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005393.87494],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:04:13.076433,[44.24, 'f'],[30.81365626167922, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005453.075578],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.509484609878304, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005452.9686294],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:05:13.048833,[44.06, 'f'],[31.059225837805734, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005513.047894],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.017358625626335, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005512.9409785],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:06:15.799222,[44.06, 'f'],[31.468121370665266, 'f'],[61.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005575.798538],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.151574803149599, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005575.7161477],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:07:13.070591,[43.879999999999995, 'f'],[31.298062221769246, 'f'],[61.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005633.0687356],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.106836077308511, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730005632.9485888],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:08:13.053277,[43.7, 'f'],[31.127999257987376, 'f'],[61.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005693.0519056],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.569971367215456, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730005692.9298556],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:09:15.673260,[43.7, 'f'],[31.127999257987376, 'f'],[61.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005755.6727118],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.92788117394416, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730005754.7971418],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:10:15.718149,[43.52, 'f'],[30.957932479191275, 'f'],[61.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005815.717581],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.37526843235504, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730005814.8199883],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:12:14.749085,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005934.7427065],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.979241231209728, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005933.8721657],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:13:14.773757,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730005994.7674956],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.314781675017888, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730005993.8523004],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:14:15.796506,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006055.7958663],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.337151037938431, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006054.8050494],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:15:15.865312,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006115.864353],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.643700787401568, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006115.7535079],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:16:13.887564,[43.52, 'f'],[30.13597391418796, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006173.8866394],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.739799570508223, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006173.7722473],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:17:13.069586,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006233.0686383],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.359520400858975, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006232.951201],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:18:13.070838,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006293.0699134],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.225304223335711, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006292.957084],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:19:13.062520,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006353.0606406],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.71743020758768, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006352.9440758],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
