2024-10-28 00:00:50.679867,[47.3, 'f'],[30.078306735192676, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091650.6773515],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.788654259126686, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091649.7772024],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:01:49.039055,[47.3, 'f'],[30.078306735192676, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091709.037626],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[10.916249105225472, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091708.920209],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:02:50.679784,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091770.6742218],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.101825340014303, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091769.7784224],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:03:50.922172,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091830.9213269],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.788654259126686, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091830.823516],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:04:50.750839,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091890.7495346],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.057086614173214, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091889.8237486],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:05:49.867519,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730091949.8666806],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[10.110952040085886, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730091949.7662036],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:06:50.912861,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092010.9120047],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[11.028095919828191, 'mph', 3.0, '3', 'Gentle Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1730092010.8218641],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:07:50.810408,[47.480000000000004, 'f'],[29.75782957786045, 'f'],[50.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092070.804001],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[10.066213314244798, 'mph', 3.0, '3', 'Gentle Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1730092070.676667],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:08:50.727507,[47.480000000000004, 'f'],[30.244871625269063, 'f'],[51.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092130.7262359],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[9.976735862562624, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092129.8167477],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:09:49.893190,[47.480000000000004, 'f'],[30.723515607313047, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092189.892395],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[8.567465998568352, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092189.70497],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:10:51.016151,[47.480000000000004, 'f'],[30.723515607313047, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730092251.0096428],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[8.410880458124543, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730092250.8601768],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
