2024-10-30 00:01:01.779940,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264461.7736115],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.511095204008575, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264460.769718],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:02:00.981549,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264520.975171],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.29151753758051, 'mph', 4.0, '4', 'Moderate Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730264520.8333397],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:03:02.949047,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264582.9481022],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.11256263421616, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264582.8242936],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:04:02.110834,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264642.110198],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.582319255547585, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264641.961559],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:05:01.964469,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264701.9635515],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.448103078024317, 'mph', 4.0, '4', 'Moderate Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264701.8460655],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:06:01.894332,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264761.8934925],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.23103078024336, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264761.7890434],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:07:02.068065,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264822.0671577],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.12580529706512, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730264821.9518473],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:08:02.037570,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264882.037181],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.698282032927676, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730264881.9350069],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:09:01.696753,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730264941.6896098],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.758768790264828, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730264940.8863943],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:10:02.012733,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265002.0062697],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.953471725125247, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265001.8627374],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:11:01.041733,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265061.035458],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[23.152290622763037, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265060.9123154],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:12:01.673554,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265121.6731608],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.081066571224028, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265120.7679214],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:13:00.788066,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265180.787156],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[21.98908375089475, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265180.6892912],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:14:00.905538,[73.4, 'f'],[61.778347552507185, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730265240.8991902],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[23.398353614889025, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730265240.7699947],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
