2024-11-01 00:00:07.145096,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437207.1446333],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[3.3554044380815995, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437207.1042464],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:01:10.919189,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437270.9183283],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[3.623836793128128, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437270.8221943],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:02:11.686986,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437331.6861398],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[5.368647100930559, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437330.8090372],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:03:10.890900,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437390.8900476],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[5.323908375089471, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437390.785485],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:04:10.926245,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437450.9254603],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[5.100214745884031, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437450.8349688],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:05:10.797233,[35.24, 'f'],[33.4194864549978, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437510.7919214],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[4.160701503221184, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437510.6744113],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:06:11.679432,[35.06, 'f'],[33.2409701869881, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437571.6747084],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[4.831782390837504, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437570.9541323],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:07:11.681845,[35.06, 'f'],[33.2409701869881, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437631.675765],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[4.406764495347168, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437630.7568924],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:08:10.886999,[35.06, 'f'],[33.2409701869881, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437690.8851779],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[5.25680028632784, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437690.7502272],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:09:11.746608,[35.06, 'f'],[33.2409701869881, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437751.7454479],['N', '', 'N', 'Due [color=9aba2fff]North[/color]'],[4.563350035790975, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730437750.8775706],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-01 00:10:10.917985,[35.06, 'f'],[33.2409701869881, 'f'],[93.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730437810.917209],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.8698997852541117, 'mph', 2.0, '2', 'Light Breeze'],[25.24869801520959, ' inHg', 855.0156625006211],[0.0, 'count', 0.0, 1730437810.8275945],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
