2024-11-02 00:00:48.908295,[39.2, 'f'],[33.550223832013316, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523648.9018998],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.0778453829634875, 'mph', 2.0, '2', 'Light Breeze'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1730523648.7723212],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:01:48.978905,[39.2, 'f'],[33.550223832013316, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523708.9725575],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[3.7580529706513914, 'mph', 2.0, '2', 'Light Breeze'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1730523708.8318348],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:02:48.879431,[39.2, 'f'],[33.550223832013316, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523768.8732142],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[4.630458124552607, 'mph', 2.0, '2', 'Light Breeze'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1730523768.7471867],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:03:48.953901,[39.2, 'f'],[33.550223832013316, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523828.9529662],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[4.227809591982815, 'mph', 2.0, '2', 'Light Breeze'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1730523828.8276021],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:04:48.839011,[39.2, 'f'],[33.550223832013316, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523888.8326879],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.033106657122399, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730523888.6916125],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:05:48.857036,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730523948.855379],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.055476020042943, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730523948.716175],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:06:48.846191,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524008.8456612],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.033106657122399, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524008.6745098],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:07:48.839514,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524068.8228512],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[4.675196850393696, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524068.6871197],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:08:48.689384,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524128.682612],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.2120615604867515, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524127.86067],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:09:48.857162,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524188.850747],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.525232641374368, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524188.7077658],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:10:48.763653,[39.019999999999996, 'f'],[33.37476784913619, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730524248.7623684],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.368647100930559, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730524247.831229],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
