2024-11-03 00:00:51.692756,[45.5, 'f'],[42.44703602446761, 'f'],[89.0, '%'],[0.049327585692, ' in/hr', 'Moderate Rain', 1.25292],[0.0008221264282, ' in', 0.020882, 1730610051.6907432],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[8.679312813171071, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610050.830604],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:01:28.796580,[45.5, 'f'],[42.44703602446761, 'f'],[89.0, '%'],[0.036061436796, ' in/hr', 'Light Rain', 0.91596],[0.0014231503747999998, ' in', 0.036148, 1730610088.7957911],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.410880458124543, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610088.7068563],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:02:40.836377,[45.32, 'f'],[42.26946440239503, 'f'],[89.0, '%'],[0.03771025658399999, ' in/hr', 'Light Rain', 0.9578399999999999],[0.0020516546511999997, ' in', 0.052112, 1730610160.8343542],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.334645669291328, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610160.6914294],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:03:43.907854,[45.32, 'f'],[42.56016009727168, 'f'],[90.0, '%'],[0.039883486104, ' in/hr', 'Moderate Rain', 1.01304],[0.0027163794196, ' in', 0.068996, 1730610223.9069238],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.90962777380099, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610223.7990239],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:05:42.822117,[45.32, 'f'],[42.56016009727168, 'f'],[90.0, '%'],[0.07361106337199999, ' in/hr', 'Moderate Rain', 1.8697199999999998],[0.0050853177066999995, ' in', 0.129167, 1730610342.8158257],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[10.80440229062275, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610342.6868489],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:07:41.987579,[45.32, 'f'],[42.56016009727168, 'f'],[90.0, '%'],[0.07314570878999999, ' in/hr', 'Moderate Rain', 1.8578999999999999],[0.007365161457499999, ' in', 0.187075, 1730610461.9812224],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[10.692555476020031, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610461.848642],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:09:36.683693,[45.14, 'f'],[42.382356908867116, 'f'],[90.0, '%'],[0.06721420952400001, ' in/hr', 'Moderate Rain', 1.70724],[0.0097948084388, ' in', 0.248788, 1730610576.6824312],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[9.61882605583392, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610575.7408156],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:10:36.695996,[45.14, 'f'],[42.382356908867116, 'f'],[90.0, '%'],[0.117026047446, ' in/hr', 'Moderate Rain', 2.97246],[0.0117452425629, ' in', 0.298329, 1730610636.6952715],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[8.433249821045088, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610635.8707333],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:11:47.990766,[45.14, 'f'],[42.669983403118664, 'f'],[91.0, '%'],[0.086466188424, ' in/hr', 'Moderate Rain', 2.19624],[0.013186345703299998, ' in', 0.334933, 1730610707.9845703],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.679312813171071, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610707.8697987],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:13:29.071584,[45.14, 'f'],[42.669983403118664, 'f'],[91.0, '%'],[0.1099606893, ' in/hr', 'Moderate Rain', 2.793],[0.0165066624569, ' in', 0.419269, 1730610809.0654094],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.791159627773792, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610808.9466789],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:14:36.780247,[44.96, 'f'],[42.4919509344719, 'f'],[91.0, '%'],[0.045351992993999994, ' in/hr', 'Moderate Rain', 1.15194],[0.0172625290068, ' in', 0.438468, 1730610876.774012],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.925375805297056, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610876.6735764],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:15:41.722534,[44.96, 'f'],[42.4919509344719, 'f'],[91.0, '%'],[0.059305543835999994, ' in/hr', 'Moderate Rain', 1.50636],[0.0182509547374, ' in', 0.463574, 1730610941.7212646],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.149069434502495, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730610940.8499799],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:16:44.911355,[44.96, 'f'],[42.4919509344719, 'f'],[91.0, '%'],[0.072406338312, ' in/hr', 'Moderate Rain', 1.8391199999999999],[0.019457727042599997, ' in', 0.494226, 1730611004.905085],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.254294917680735, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730611004.747974],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:17:28.081789,[44.96, 'f'],[42.4919509344719, 'f'],[91.0, '%'],[0.123238649226, ' in/hr', 'Moderate Rain', 3.1302600000000003],[0.0215117045297, ' in', 0.546397, 1730611048.0755572],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.992483894058687, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730611047.9538345],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:18:50.042391,[44.96, 'f'],[42.7765712014834, 'f'],[92.0, '%'],[0.087170125812, ' in/hr', 'Moderate Rain', 2.21412],[0.0229645399599, ' in', 0.583299, 1730611130.0360668],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.650322118826047, 'mph', 3.0, '3', 'Gentle Breeze'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1730611129.9147232],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:19:24.905637,[44.96, 'f'],[42.7765712014834, 'f'],[92.0, '%'],[0.08280476912399999, ' in/hr', 'Moderate Rain', 2.10324],[0.0243446194453, ' in', 0.618353, 1730611164.9047594],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.768790264853248, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730611164.7998343],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:20:27.058791,[44.96, 'f'],[42.7765712014834, 'f'],[92.0, '%'],[0.10069375516199999, ' in/hr', 'Moderate Rain', 2.55762],[0.026022848698, ' in', 0.66098, 1730611227.0575273],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.759663564781663, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730611226.9056883],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:21:39.907033,[44.96, 'f'],[42.7765712014834, 'f'],[92.0, '%'],[0.07043153409599999, ' in/hr', 'Moderate Rain', 1.7889599999999999],[0.0271967075996, ' in', 0.690796, 1730611299.9061818],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.45561918396563, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730611299.8084807],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-03 00:23:25.711202,[44.78, 'f'],[42.598311694419934, 'f'],[92.0, '%'],[0.07104806986199999, ' in/hr', 'Moderate Rain', 1.80462],[0.0295669451, ' in', 0.751, 1730611405.7106986],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.9477451682176, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730611404.872545],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
