2024-11-07 00:00:49.768282,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959249.761909],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.3554044380815995, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959248.8752549],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:01:49.768953,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959309.7676415],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.3106657122405116, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959308.8470128],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:02:49.749129,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959369.74278],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.4672512526843198, 'mph', 2.0, '2', 'Light Breeze'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959368.8750007],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:03:49.770899,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959429.7644916],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.3106657122405116, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959428.8783772],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:04:49.797111,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959489.780329],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.1093414459556157, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959488.881654],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:05:49.765358,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959549.7588618],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.1317108088761594, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959548.872313],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:06:49.847306,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959609.8468108],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.0869720830350715, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959609.67557],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:07:49.862439,[35.6, 'f'],[35.34656268977601, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959669.8620563],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.7514316392269116, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959669.8200734],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:08:51.692431,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959731.6914306],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.6395848246241918, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959730.7702017],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:09:49.907694,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959789.9068701],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.505368647100928, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959789.8136454],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:10:50.733606,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959850.7322905],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.7066929133858237, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959849.7381463],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:11:49.758732,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959909.752199],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.5277380100214715, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959908.873738],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:12:49.819969,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730959969.8141901],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.5277380100214715, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730959969.6752949],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:13:49.901512,[35.42, 'f'],[35.16676944201596, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730960029.9006472],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.482999284180384, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730960029.7997162],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
