2024-11-08 00:00:26.830799,[42.8, 'f'],[38.90345633742111, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045626.8295202],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.362025769506079, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045626.6788638],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:01:27.745072,[42.8, 'f'],[38.90345633742111, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045687.7437758],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.854151753758048, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045686.8867164],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:02:26.762331,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045746.761402],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.048854688618464, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045746.6722705],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:03:27.674619,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045807.6739295],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.540980672870432, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045806.7340047],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:04:26.787414,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045866.780739],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.965998568360768, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045866.6801858],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:05:26.940363,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045926.9396355],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.489620615604864, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045926.8581827],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:06:26.861185,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731045986.8594096],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.7133142448103036, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731045986.7228868],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:07:26.696241,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046046.6956625],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.429133858267711, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046045.7919428],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:08:27.678096,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046107.6773562],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[3.623836793128128, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046106.873583],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:09:27.698912,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046167.6981168],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.652827487473152, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046166.8753383],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:10:27.677762,[42.620000000000005, 'f'],[38.726571370989355, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046227.6770828],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[3.400143163922688, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046226.8834493],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:11:27.675066,[42.44, 'f'],[38.54968516976852, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046287.6743376],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.556728704366496, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046286.780217],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-08 00:12:26.943951,[42.44, 'f'],[38.54968516976852, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731046346.9431663],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.57909806728704, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1731046346.8518817],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
