2024-11-11 00:00:16.784412,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731304816.783149],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[5.48049391553328, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731304815.7453983],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:01:16.891041,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731304876.8895335],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.585719398711519, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731304876.7456925],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:02:16.901144,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731304936.9000912],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.384395132426624, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731304936.7785332],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:03:19.761831,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731304999.7606158],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.183070866141728, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731304998.8432665],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:04:17.693272,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305057.6918392],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.9436292054402236, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305056.8779137],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:05:16.868517,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305116.8670616],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.563350035790975, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305116.7337234],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:06:16.865049,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305176.8639362],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.362025769506079, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305176.7318115],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:07:16.850745,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305236.8494647],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[5.100214745884031, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305236.7016904],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:08:16.847345,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305296.8461637],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.876521116678592, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305296.7018824],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:09:17.674717,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305357.6740355],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.742304939155328, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305356.880501],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:10:17.783041,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305417.776833],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.406764495347168, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305416.8890197],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:11:17.675496,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305477.6750574],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[5.391016463851104, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305476.6800852],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:12:16.783481,[47.120000000000005, 'f'],[46.03809489346122, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305536.7826252],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[4.876521116678592, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305536.6802788],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:13:16.674628,[47.120000000000005, 'f'],[46.03809489346122, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305596.673981],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[3.7356836077308477, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305595.770829],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-11 00:14:16.705276,[47.120000000000005, 'f'],[46.03809489346122, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1731305656.7039661],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[5.368647100930559, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731305655.7960403],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
